"","MakeName","MMT","MY","cnt","q19_2_mean","y_pred_mean","%_deviation"
"1","Nissan","Nissan Altima","2018",62,0,0.0078,Inf
"2","Nissan","Nissan Altima","2019",111,0.018,0.0163,-9.3
"3","Nissan","Nissan Altima","2020",61,0,0.0034,Inf
"4","Nissan","Nissan Armada","2018",22,0,0.0099,Inf
"5","Nissan","Nissan Armada","2019",24,0,0.0023,Inf
"6","Nissan","Nissan Armada","2020",2,0,0.0227,Inf
"7","Nissan","Nissan Frontier","2018",95,0.0105,0.011,4.4
"8","Nissan","Nissan Frontier","2019",116,0,0.0022,Inf
"9","Nissan","Nissan Frontier","2020",1,0,0.0417,Inf
"10","Nissan","Nissan Kicks","2018",26,0.0385,0.0368,-4.2
"11","Nissan","Nissan Kicks","2019",35,0,0.0081,Inf
"12","Nissan","Nissan Kicks","2020",9,0,0.0153,Inf
"13","Nissan","Nissan Leaf","2018",94,0.0106,0.0101,-5.4
"14","Nissan","Nissan Leaf","2019",102,0.0098,0.0161,64.4
"15","Nissan","Nissan Leaf","2020",14,0,0.0048,Inf
"16","Nissan","Nissan Maxima","2018",38,0,0.0069,Inf
"17","Nissan","Nissan Maxima","2019",24,0.0417,0.0153,-63.3
"18","Nissan","Nissan Maxima","2020",10,0,0.0031,Inf
"19","Nissan","Nissan Murano","2018",218,0.0046,0.005,9.9
"20","Nissan","Nissan Murano","2019",156,0,0.0043,Inf
"21","Nissan","Nissan Murano","2020",68,0,0.0022,Inf
"22","Nissan","Nissan Pathfinder","2018",54,0.037,0.0414,11.7
"23","Nissan","Nissan Pathfinder","2019",30,0.0333,0.0339,1.8
"24","Nissan","Nissan Pathfinder","2020",11,0,0.0127,Inf
"25","Nissan","Nissan Rogue","2018",287,0.0105,0.0085,-19.1
"26","Nissan","Nissan Rogue","2019",222,0.0045,0.0083,83.7
"27","Nissan","Nissan Rogue","2020",91,0,0.0071,Inf
"28","Nissan","Nissan Rogue Sport","2018",72,0.0278,0.0126,-54.6
"29","Nissan","Nissan Rogue Sport","2019",71,0,0.01,Inf
"30","Nissan","Nissan Rogue Sport","2020",24,0,0.0081,Inf
"31","Nissan","Nissan Sentra","2018",36,0,0.0131,Inf
"32","Nissan","Nissan Sentra","2019",41,0,0.0113,Inf
"33","Nissan","Nissan Sentra","2020",13,0,0.0122,Inf
"34","Nissan","Nissan Titan","2018",33,0,0.0111,Inf
"35","Nissan","Nissan Titan","2019",19,0,0.0033,Inf
