"","MakeName","MMT","MY","cnt","q19_2_mean","y_pred_mean","%_deviation"
"1","Nissan","Nissan Altima","2018",62,0,0.0044,Inf
"2","Nissan","Nissan Altima","2019",111,0.018,0.0168,-6.9
"3","Nissan","Nissan Altima","2020",61,0,0.0047,Inf
"4","Nissan","Nissan Armada","2018",22,0,0.0269,Inf
"5","Nissan","Nissan Armada","2019",24,0,0.0135,Inf
"6","Nissan","Nissan Armada","2020",2,0,0.0254,Inf
"7","Nissan","Nissan Frontier","2018",95,0.0105,0.0084,-20.3
"8","Nissan","Nissan Frontier","2019",116,0,0.0039,Inf
"9","Nissan","Nissan Frontier","2020",1,0,0.0223,Inf
"10","Nissan","Nissan Kicks","2018",26,0.0385,0.0389,1.2
"11","Nissan","Nissan Kicks","2019",35,0,0.0053,Inf
"12","Nissan","Nissan Kicks","2020",9,0,0.0229,Inf
"13","Nissan","Nissan Leaf","2018",94,0.0106,0.0104,-2.4
"14","Nissan","Nissan Leaf","2019",102,0.0098,0.0133,35.9
"15","Nissan","Nissan Leaf","2020",14,0,0.0143,Inf
"16","Nissan","Nissan Maxima","2018",38,0,0.0089,Inf
"17","Nissan","Nissan Maxima","2019",24,0.0417,0.0406,-2.5
"18","Nissan","Nissan Maxima","2020",10,0,0.0088,Inf
"19","Nissan","Nissan Murano","2018",218,0.0046,0.0036,-22
"20","Nissan","Nissan Murano","2019",156,0,0.0027,Inf
"21","Nissan","Nissan Murano","2020",68,0,0.0032,Inf
"22","Nissan","Nissan Pathfinder","2018",54,0.037,0.0493,33.2
"23","Nissan","Nissan Pathfinder","2019",30,0.0333,0.0354,6.2
"24","Nissan","Nissan Pathfinder","2020",11,0,0.015,Inf
"25","Nissan","Nissan Rogue","2018",295,0.0136,0.011,-18.9
"26","Nissan","Nissan Rogue","2019",220,0.0045,0.0086,90.1
"27","Nissan","Nissan Rogue","2020",85,0,0.0082,Inf
"28","Nissan","Nissan Rogue Sport","2018",72,0.0278,0.0068,-75.5
"29","Nissan","Nissan Rogue Sport","2019",71,0,0.0054,Inf
"30","Nissan","Nissan Rogue Sport","2020",24,0,0.0036,Inf
"31","Nissan","Nissan Sentra","2018",36,0,0.0073,Inf
"32","Nissan","Nissan Sentra","2019",41,0,0.0057,Inf
"33","Nissan","Nissan Sentra","2020",13,0,0.0062,Inf
"34","Nissan","Nissan Titan","2018",33,0,0.006,Inf
"35","Nissan","Nissan Titan","2019",19,0,0.0075,Inf
